obs;unemp
2000Q1;12,1
2000Q2;10,6
2000Q3;9,9
2000Q4;9,8
2001Q1;10
2001Q2;9
2001Q3;8,6
2001Q4;8,8
2002Q1;8,5
2002Q2;7,8
2002Q3;7,4
2002Q4;8,3
2003Q1;9,3
2003Q2;8,7
2003Q3;8,3
2003Q4;8,3
2004Q1;9,1
2004Q2;8
2004Q3;7,4
2004Q4;8,1
2005Q1;8,3
2005Q2;7,5
2005Q3;7,2
2005Q4;7,4
2006Q1;7,8
2006Q2;7,5
2006Q3;6,8
2006Q4;6,7
2007Q1;7
2007Q2;6,2
2007Q3;5,7
2007Q4;5,7
2008Q1;6,7
2008Q2;5,8
2008Q3;5,8
2008Q4;6,9
2009Q1;8,9
2009Q2;8,7
2009Q3;8
2009Q4;7,9
2010Q1;8,6
2010Q2;7,6
2010Q3;6,7
2010Q4;6,7
2011Q1;7,4
2011Q2;6,6
2011Q3;6,1
2011Q4;6,1
2012Q1;6,3
2012Q2;5,5
2012Q3;5,1
2012Q4;5,1
2013Q1;5,7
2013Q2;5,4
2013Q3;5,3
2013Q4;5,4
2014Q1;5,6
2014Q2;5,1
2014Q3;4,9
2014Q4;5,1
2015Q1;5,6
2015Q2;5,7
2015Q3;5,3
2015Q4;5,6
2016Q1;5,9
2016Q2;5,8
2016Q3;5,3
2016Q4;5,3
2017Q1;5,5
2017Q2;5,2
2017Q3;5
2017Q4;5
2018Q1;5,1
2018Q2;4,8
2018Q3;4,6
2018Q4;4,7
